Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
Logistic Lasso0.0,4:6,20,0.8851955307262571,0.02373315602005877,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8957316865281996,0.5631603551869919,0.6880543883314769,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.988239293445244
Logistic Lasso1.0,4:6,20,0.8589385474860336,0.021042624543742117,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8694693239337203,0.4473820043701302,0.5875324455338202,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,4.1999390296057316e-05
Logistic Lasso1.0,4:6,20,0.8779329608938549,0.013828931613951448,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8862082533759745,0.5307962998198879,0.6616762412432831,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,6.793373965641648e-05
Logistic Lasso1.0,4:6,20,0.8952513966480448,0.01729814995015759,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8902024478536031,0.6167565181236555,0.7256304387936299,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.00012528538750194646
Logistic Lasso2.0,4:6,20,0.8941340782122905,0.01978907849615476,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8818360546941649,0.6186561044311365,0.7242893124988589,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.00022156597413363922
Logistic Lasso5.0,4:6,20,0.8994413407821229,0.018779593646895656,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.9001491120490371,0.6285486475248991,0.7372699509839127,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.00029736774578416043
Logistic Lasso10.0,4:6,20,0.9019553072625699,0.017796168085135733,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.9085234570750339,0.6347643603741164,0.7440972236838364,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.00041810228551251316
Logistic Lasso20.0,4:6,20,0.9013966480446927,0.018382774730472513,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.9042278364880924,0.6347857105150109,0.7426549717750708,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.0006683166688232934
Logistic Lasso50.0,4:6,20,0.9019553072625698,0.01963073165454089,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.9000320520990377,0.6404360145751353,0.7451389721806347,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.000987890358562941
Logistic Lasso100.0,4:6,20,0.9033519553072626,0.02113327409986339,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8981914190426572,0.6491696542739546,0.7496743194695702,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.001312371287769295
Logistic Lasso500.0,4:6,20,0.9058659217877094,0.02136643285727724,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21048689138576782,0.22681564245810057,0.8905675129056544,0.6686677275316556,0.7608112849840815,Flase,False,1823836,1504.5181953037325,0.0008249196722203819,0.002240842290069563,973928424,2182420,0.002229421943639669
