Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff,C,id
Logistic Lasso0.3,6:6,20,0.9472972972972974,0.03960635375608877,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2770270270270271,0.277027027027027,0.9292701742701744,0.8874503274503274,0.9027341710751321,True,False,633060,976.2443341704984,0.001542103961979115,0.009808386720527749,70269660,689232,2.9144156951947682e-05,3.333333333333333,Logistic Lasso0.36:6TrueFalse
Logistic Lasso1.0,6:6,20,0.9459459459459459,0.03725418581646007,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2770270270270271,0.277027027027027,0.9193621656121655,0.8910354922854923,0.9017036570415222,True,False,633060,976.2443341704984,0.001542103961979115,0.009808386720527749,70269660,689232,6.515970050232206e-05,1.0,Logistic Lasso1.06:6TrueFalse
Logistic Lasso5.0,8:8,20,0.9513513513513516,0.042390235517184106,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801801,0.26756756756756755,0.9299435286935288,0.8920376845376845,0.9006088648442935,True,False,655057,981.9439902560632,0.001499020681033961,0.009617758729668077,72711327,699320,0.00026906055503566863,0.2,Logistic Lasso5.08:8TrueFalse
Logistic Lasso2.0,8:10,20,0.9472972972972976,0.030186902572552264,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765766,0.2783783783783784,0.9173082473082472,0.8931999944499944,0.8996396217251984,True,False,1903287,1581.3117972114167,0.0008308320275457232,0.009551342464875736,211264857,2017863,0.00010720926481397707,0.5,Logistic Lasso2.08:10TrueFalse
Logistic Lasso2.0,8:8,20,0.9500000000000002,0.03942149228598602,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801801,0.26756756756756755,0.9352014652014652,0.879737900987901,0.8976047880742322,True,False,655057,981.9439902560632,0.001499020681033961,0.009617758729668077,72711327,699320,0.00015678024965766338,0.5,Logistic Lasso2.08:8TrueFalse
Logistic Lasso5.0,5:5,20,0.9459459459459458,0.034186785515333835,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108109,0.9074057886557888,0.8964010989010989,0.8969720662894038,True,False,613933,982.8651993025287,0.001600932348159374,0.009988823647643095,68146563,680704,0.0002266533970319237,0.2,Logistic Lasso5.05:5TrueFalse
Logistic Lasso0.3,5:10,20,0.9391891891891893,0.05530643764778682,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9410101010101012,0.8522609335109335,0.8920013870045841,True,False,3754678,2352.343299775779,0.0006265099962701939,0.009674115646984692,416769258,4031874,8.629235316583739e-06,3.333333333333333,Logistic Lasso0.35:10TrueFalse
Logistic Lasso2.0,15:15,20,0.9378378378378376,0.035342423866545986,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225225,0.2905405405405405,0.9116179653679654,0.8830971805971807,0.8912951790174498,True,False,675859,959.8083141961212,0.0014201309950686773,0.009383640697272684,75020349,703964,0.00019767436699074807,0.5,Logistic Lasso2.015:15TrueFalse
Logistic Lasso2.0,5:5,20,0.9445945945945946,0.03572784882811428,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108109,0.9030135142635144,0.8788949938949939,0.8866090338969596,True,False,613933,982.8651993025287,0.001600932348159374,0.009988823647643095,68146563,680704,9.520582864905456e-05,0.5,Logistic Lasso2.05:5TrueFalse
Logistic Lasso5.0,10:15,20,0.9418918918918922,0.02994394568400045,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2833333333333333,0.2581081081081081,0.8972252747252746,0.8786309523809523,0.8822903415813632,True,False,3739872,2269.129568799455,0.000606739901472418,0.009457687466453542,415125792,3926130,0.0001156055608320285,0.2,Logistic Lasso5.010:15TrueFalse
Logistic Lasso1.0,10:10,20,0.9351351351351352,0.04554675553068301,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765765,0.2783783783783784,0.9254011266511266,0.8487018537018539,0.8782644865641231,True,False,617884,921.1807640197444,0.0014908635990246461,0.009496899065167545,68585124,651346,0.00012421425380815815,1.0,Logistic Lasso1.010:10TrueFalse
