Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
Logistic Lasso0.0,10:15,20,0.8445945945945945,0.05047256593779215,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.8348809523809525,0.5834747890997891,0.6686485152274625,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,1.0618043839911797
Logistic Lasso1.0,10:15,20,0.8689189189189189,0.05218036371975088,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.8724963924963924,0.6291056166056166,0.7202904144309448,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,1.6239383311164176e-05
Logistic Lasso1.0,10:15,20,0.9418918918918919,0.04544641005621686,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.921576825951826,0.8854091047841047,0.89689878063076,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,2.9225304617598133e-05
Logistic Lasso1.0,10:15,20,0.9405405405405405,0.04239023551718412,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9246148296148295,0.8767334054834055,0.8931638494212496,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,5.51552571617356e-05
Logistic Lasso2.0,10:15,20,0.9513513513513516,0.03482188845060845,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9255982212232213,0.9080033161283161,0.9127020445547334,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,9.365223032500271e-05
Logistic Lasso5.0,10:15,20,0.9513513513513516,0.02910899895748382,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9163900682650684,0.9198088716838717,0.9128668621633524,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,0.00013441126719971315
Logistic Lasso10.0,10:15,20,0.9581081081081082,0.024881017080435105,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9223778305028304,0.9301934870684871,0.9228428495626806,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,0.00016053670673125929
Logistic Lasso20.0,10:15,20,0.9594594594594597,0.02491768772241322,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9222389416139418,0.934039640914641,0.9250479579218138,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,0.00020614102822245637
Logistic Lasso50.0,10:15,20,0.9567567567567569,0.028856968248733274,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9303323759573761,0.9221806665556664,0.922678159180599,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,0.00024294843528026273
Logistic Lasso100.0,10:15,20,0.9527027027027029,0.02945201988878834,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9162351537351539,0.9181261793761794,0.9131815567330073,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,0.00031485971993417116
Logistic Lasso500.0,10:15,20,0.95,0.03447932654641372,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2774774774774775,0.2756756756756757,0.9037730325230326,0.9169504800754801,0.9059616123858609,True,False,3580801,2207.4290475573616,0.0006164623634648677,0.009461917387546318,397468911,3760818,0.0005170910084084539
