Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
MultiNB0.0,15:15,20,0.8770949720670391,0.024732897900758253,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720672,0.7616452067579023,0.6565556100392131,0.7015962455597539,Flase,False,644595,848.1149686215897,0.0013157330860797706,0.00208246777372884,344213730,716814,1.0102859159627362
MultiNB0.5,15:15,20,0.8673184357541899,0.025100839044150027,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720672,0.7205053755294043,0.6604860962330532,0.6870125490706103,Flase,False,644595,848.1149686215897,0.0013157330860797706,0.00208246777372884,344213730,716814,1.0102859159627362
MultiNB1.0,15:15,20,0.8698324022346368,0.023970321735111655,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720672,0.7404751409906651,0.6427356888740678,0.6850833260456721,Flase,False,644595,848.1149686215897,0.0013157330860797706,0.00208246777372884,344213730,716814,1.0102859159627362
MultiNB2.0,15:15,20,0.873463687150838,0.024813212511104858,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720672,0.763995005480737,0.6287545083486047,0.6861018227403977,Flase,False,644595,848.1149686215897,0.0013157330860797706,0.00208246777372884,344213730,716814,1.0102859159627362
MultiNB15.0,15:15,20,0.8807262569832401,0.024813212511104858,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21217228464419474,0.22178770949720672,0.842638832701668,0.5760699096654303,0.680923015369259,Flase,False,644595,848.1149686215897,0.0013157330860797706,0.00208246777372884,344213730,716814,1.0102859159627362
