Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
logistic_lasso,7:7,20,0.8824022346368714,0.027509357864884086,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21301498127340826,0.21927374301675978,0.8756796794679722,0.5417137167144166,0.6664009093090739,Flase
Naive Bayes,7:7,20,0.8550279329608939,0.026231712551033907,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21301498127340826,0.21927374301675978,0.6597796139266251,0.7093656731355603,0.678724533964002,Flase
svm,8:8,20,0.8818435754189944,0.021584426253577087,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21264044943820223,0.22039106145251391,0.8785051932694186,0.5368973851716419,0.6646837087836793,Flase
logistic,8:8,20,0.879050279329609,0.021512007239653803,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21264044943820223,0.22039106145251391,0.887395739400417,0.5171122485158478,0.65192019021627,Flase
logistic_lasso,8:8,20,0.8734636871508379,0.02257391135219535,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21264044943820223,0.22039106145251391,0.8751083537205828,0.49809330664295615,0.6311508453088586,Flase
Naive Bayes,8:8,20,0.856703910614525,0.02850120333958288,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21264044943820223,0.22039106145251391,0.6785929584435703,0.6735500412062307,0.6729432047187316,Flase
svm,9:9,20,0.8902234636871507,0.020471258838631566,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2156367041198502,0.21145251396648046,0.889418771477696,0.5466976551963562,0.6750705684962701,Flase
logistic,9:9,20,0.8879888268156424,0.021381034897496775,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2156367041198502,0.21145251396648046,0.8928797866126438,0.5335182126522149,0.6654871535170942,Flase
logistic_lasso,9:9,20,0.8793296089385475,0.023530100210785124,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2156367041198502,0.21145251396648046,0.8757453443491942,0.5019268265017018,0.6341932977385507,Flase
Naive Bayes,9:9,20,0.8589385474860334,0.02336204374313565,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2156367041198502,0.21145251396648046,0.6668290495511475,0.6631270877688319,0.6627317164855737,Flase
svm,10:10,20,0.8863128491620111,0.019374685065765177,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21657303370786515,0.20865921787709496,0.8701085619503811,0.5349345811543392,0.6594966655766435,Flase
logistic,10:10,20,0.8877094972067038,0.019979390773461076,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21657303370786515,0.20865921787709496,0.8755253724253219,0.5374215868167481,0.6640344000869588,Flase
logistic_lasso,10:10,20,0.8849162011173185,0.018977975141299463,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21657303370786515,0.20865921787709496,0.8706454261690422,0.5272491530556046,0.6541902903560615,Flase
Naive Bayes,10:10,20,0.8675977653631286,0.020685484448685596,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21657303370786515,0.20865921787709496,0.679816780434608,0.6991257041357848,0.6866731886139841,Flase
svm,11:11,20,0.8751396648044694,0.02352180883302645,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21348314606741572,0.21787709497206703,0.8762349858603729,0.5007428099346931,0.6346723570547074,Flase
logistic,11:11,20,0.8754189944134078,0.02357647804023373,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21348314606741572,0.21787709497206703,0.8813417654258615,0.4979300326094155,0.6336447648202537,Flase
logistic_lasso,11:11,20,0.8837988826815645,0.025392889781817897,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21348314606741572,0.21787709497206703,0.881925396466111,0.545895956858898,0.6686332574052365,Flase
Naive Bayes,11:11,20,0.8639664804469275,0.02962869584313915,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21348314606741572,0.21787709497206703,0.6994566732897247,0.6728534273326833,0.6830629828444649,Flase
