Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
svm,5:5,3,0.8901303538175046,0.010534179235553822,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21161048689138576,0.22346368715083798,0.8977574149987942,0.5740305522914219,0.6995103578154426,Flase
logistic,5:5,3,0.8882681564245809,0.012068418432789333,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21161048689138576,0.22346368715083798,0.8951933124346917,0.5650215432824128,0.6923418990340805,Flase
logistic_lasso,5:5,3,0.8715083798882682,0.013684300239012154,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21161048689138576,0.22346368715083798,0.8342151675485008,0.5235017626321974,0.6413852149267832,Flase
Naive Bayes,5:5,3,0.8379888268156425,0.03620525529836793,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21161048689138576,0.22346368715083798,0.6341791873706767,0.6515863689776733,0.6426885289364067,Flase
svm,10:10,3,0.9013035381750466,0.016019227685368023,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22347066167290885,0.18808193668528864,0.8587103209528838,0.5770658263305322,0.6856221012300866,Flase
logistic,10:10,3,0.8975791433891992,0.0069677046308639625,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22347066167290885,0.18808193668528864,0.8744851258581235,0.5360119047619047,0.662401795735129,Flase
logistic_lasso,10:10,3,0.8994413407821229,0.012068418432789333,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22347066167290885,0.18808193668528864,0.8975722133616871,0.5255427170868346,0.6615753219526804,Flase
Naive Bayes,10:10,3,0.8957169459962756,0.0026335448088884686,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.22347066167290885,0.18808193668528864,0.7063973063973065,0.7611519607843137,0.7324053724053724,Flase
svm,15:15,3,0.8584729981378025,0.018990761689358635,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.9411027568922306,0.38664717348927874,0.5479475308641976,Flase
logistic,15:15,3,0.888268156424581,0.016446482060200825,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.947089947089947,0.5296296296296297,0.6783625730994153,Flase
logistic_lasso,15:15,3,0.877094972067039,0.012068418432789281,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.8871892374614697,0.5102339181286549,0.6462778568041726,Flase
Naive Bayes,15:15,3,0.8845437616387337,0.013167724044442185,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21223470661672908,0.22160148975791435,0.7393162393162394,0.7405458089668616,0.7384816490698842,Flase
svm,20:20,3,0.8547486033519553,0.004561433413004051,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2191011235955056,0.2011173184357542,0.9111111111111111,0.30178727114210985,0.4525560482877557,Flase
logistic,20:20,3,0.8733705772811918,0.0026335448088884686,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2191011235955056,0.2011173184357542,0.8933080808080809,0.4093286835222319,0.5587717684138015,Flase
logistic_lasso,20:20,3,0.877094972067039,0.013684300239012154,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2191011235955056,0.2011173184357542,0.8516666666666667,0.49698488811392033,0.6137073309204456,Flase
Naive Bayes,20:20,3,0.8957169459962756,0.01147935568523088,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2191011235955056,0.2011173184357542,0.737722756015439,0.7488884045335658,0.7411426114577028,Flase
svm,25:25,3,0.8472998137802606,0.025122416318867854,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21348314606741572,0.21787709497206706,0.9583333333333334,0.3207163207163207,0.4740106951871658,Flase
logistic,25:25,3,0.8715083798882682,0.019882827284974498,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21348314606741572,0.21787709497206706,0.9365079365079364,0.4468864468864469,0.6032015065913371,Flase
logistic_lasso,25:25,3,0.8398510242085662,0.018434813662219125,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21348314606741572,0.21787709497206706,0.8083694083694084,0.3545991045991046,0.48581386235051954,Flase
Naive Bayes,25:25,3,0.8808193668528864,0.026335448088884425,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.21348314606741572,0.21787709497206706,0.7376602564102565,0.7074684574684577,0.7180034285297445,Flase
svm,30:30,3,0.819366852886406,0.026727560697220373,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.9523809523809524,0.18894857590509764,0.3137231923121997,Flase
logistic,30:30,3,0.8417132216014899,0.027870818523455774,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.9410256410256409,0.29879693357954223,0.4519330896200288,Flase
logistic_lasso,30:30,3,0.8547486033519552,0.02090311389259185,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.9259259259259259,0.3484919702311007,0.5021902625676211,Flase
Naive Bayes,30:30,3,0.8864059590316574,0.016019227685368027,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.8198319327731092,0.6050360919926138,0.696153846153846,Flase
svm,40:40,3,0.8119180633147113,0.022958711370461758,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2097378277153558,0.22905027932960895,0.9444444444444445,0.18609843609843613,0.3031223483050725,Flase
logistic,40:40,3,0.8156424581005587,0.02090311389259185,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2097378277153558,0.22905027932960895,0.9301587301587301,0.2106197106197106,0.3346517809675705,Flase
logistic_lasso,40:40,3,0.819366852886406,0.017269308185280656,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2097378277153558,0.22905027932960895,0.9363636363636364,0.22970047970047971,0.36748105144331555,Flase
Naive Bayes,40:40,3,0.8640595903165735,0.022958711370461713,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2097378277153558,0.22905027932960895,0.8005789909015716,0.536972036972037,0.6408702584998,Flase
svm,60:60,3,0.8081936685288641,0.009495380844679284,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.9027777777777778,0.1447889580110376,0.24798711755233493,Flase
logistic,60:60,3,0.8212290502793297,0.015801268853330705,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.9523809523809524,0.19591191863335636,0.32306763285024154,Flase
logistic_lasso,60:60,3,0.8081936685288641,0.002633544808888416,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.8201058201058201,0.16018235081136237,0.2676972624798712,Flase
Naive Bayes,60:60,3,0.8733705772811918,0.018990761689358582,713,0.75,complex,02/02/2000,01/09/2019,statements:speeches:minutes,0.2128589263420724,0.2197392923649907,0.8198067632850242,0.5447099612696532,0.6513480392156863,Flase
