Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
nn_40_40,12:12,20,0.8351351351351353,0.0650335644081944,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27702702702702703,0.27702702702702703,0.7406478243978244,0.6303546453546452,0.6712658225847081,True
nn_40_40,13:13,20,0.8594594594594595,0.055783155244730535,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2792792792792792,0.2702702702702703,0.7525517538017538,0.7229847195288371,0.7208115630491804,True
nn_40_40,14:14,20,0.8527027027027028,0.051617376364281826,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2707207207207206,0.295945945945946,0.8241129703629703,0.6576356976356976,0.7139044416196119,True
