Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
logistic_lasso,40,10,0.910810811,0.032092816,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.286486486,0.248648649,0.89459596,0.71527417,0.786987457,TRUE
Naive Bayes,40,10,0.891891892,0.038221988,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.286486486,0.248648649,0.759295704,0.862853535,0.797992125,TRUE
svm,60,10,0.851351351,0.048723666,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.876269841,0.586858974,0.684314083,TRUE
logistic,60,10,0.854054054,0.051564281,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.892936508,0.586858974,0.689808588,TRUE
logistic_lasso,60,10,0.810810811,0.08374018,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.896666667,0.39957265,0.527674869,TRUE
Naive Bayes,60,10,0.878378378,0.048723666,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.272972973,0.289189189,0.8322114,0.740811966,0.763716511,TRUE
svm,80,10,0.791891892,0.078378378,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.277477477,0.275675676,0.966666667,0.269307359,0.413345674,TRUE
logistic,80,10,0.786486486,0.077817189,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.277477477,0.275675676,0.966666667,0.25021645,0.390048971,TRUE
logistic_lasso,80,10,0.762162162,0.086147986,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.277477477,0.275675676,0.9,0.156277056,0.254693885,TRUE
Naive Bayes,80,10,0.837837838,0.06043427,148,0.75,complex,2/2/2000,1/9/2019,statements:speeches:minutes,0.277477477,0.275675676,0.787936508,0.537503608,0.625323486,TRUE
nn_40,1,3,0.810810811,0.022067475,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.273273273,0.288288288,0.877777778,0.405555556,0.553439153,TRUE
nn_40,2,3,0.81981982,0.012740663,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.279279279,0.27027027,0.671380471,0.677777778,0.666666667,TRUE
nn_40,3,3,0.846846847,0.055535261,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,1,0.426515152,0.575854701,TRUE
nn_40,5,3,0.828828829,0.055535261,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.264264264,0.315315315,0.869047619,0.578042328,0.678571429,TRUE
nn_40,10,3,0.810810811,0.058385051,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.723484848,0.551851852,0.613756614,TRUE
nn_40,15,3,0.81981982,0.025481325,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.261261261,0.324324324,0.833333333,0.555555556,0.666666667,TRUE
nn_40,20,3,0.855855856,0.025481325,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.27027027,0.297297297,0.933333333,0.579487179,0.69047619,TRUE
nn_40,30,3,0.837837838,0.022067475,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.261261261,0.324324324,0.810822511,0.628205128,0.706947997,TRUE
nn_40,40,3,0.900900901,0.012740663,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.261261261,0.324324324,0.911680912,0.779487179,0.835480309,TRUE
nn_40,60,3,0.801801802,0.083546113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.279279279,0.27027027,0.683333333,0.675925926,0.652696078,TRUE
nn_40,80,3,0.720720721,0.214331122,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.294294294,0.225225225,0.72,0.711538462,0.562853494,TRUE
nn_40_40,1,3,0.783783784,0.022067475,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.267267267,0.306306306,0.736111111,0.391025641,0.50877193,TRUE
nn_40_40,2,3,0.837837838,0.022067475,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.273273273,0.288288288,0.855555556,0.551948052,0.630032206,TRUE
nn_40_40,3,3,0.783783784,0.038221988,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.279279279,0.27027027,1,0.205050505,0.32983683,TRUE
