Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
logistic,2:2,12,0.858974358974359,0.032264249723379275,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29365079365079366,0.28418803418803423,0.7970682866910487,0.6801192480359147,0.7267495640558775
logistic_lasso,2:2,12,0.8910256410256411,0.03029368991187571,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29365079365079366,0.28418803418803423,0.8246885329265191,0.7881930415263749,0.8025664184743468
Naive Bayes,2:2,12,0.80982905982906,0.039108985507955385,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29365079365079366,0.28418803418803423,0.6748263562122258,0.6670187991021325,0.6628422212398644
svm,2:2,13,0.871794871794872,0.03335608387630724,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2887112887112887,0.29881656804733725,0.8299454714507212,0.7277461829772304,0.7716043169890365
logistic,2:2,13,0.8698224852071008,0.03291581709719652,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2887112887112887,0.29881656804733725,0.8424241101176086,0.6999507665178464,0.7610234189395642
logistic_lasso,2:2,13,0.881656804733728,0.03186488051558879,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2887112887112887,0.29881656804733725,0.824536966083297,0.7737432255517155,0.7927703252560543
Naive Bayes,2:2,13,0.82741617357002,0.0354206804656173,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2887112887112887,0.29881656804733725,0.7267100652970218,0.6952975923842026,0.7051307941284155
svm,2:2,14,0.8763736263736266,0.04561322126524643,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2946815089672233,0.28113553113553114,0.8079523757543535,0.7545393781309018,0.7735709634498297
logistic,2:2,14,0.8653846153846156,0.03958968190699136,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2946815089672233,0.28113553113553114,0.8065387840819068,0.7088324486241913,0.7463741020705644
logistic_lasso,2:2,14,0.8745421245421247,0.03727679933525206,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2946815089672233,0.28113553113553114,0.7883334144974821,0.7740440302332886,0.7767082445799046
Naive Bayes,2:2,14,0.7985347985347986,0.052510150867514455,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2946815089672233,0.28113553113553114,0.6426044994923713,0.659475145755745,0.6459331077537019
svm,2:2,15,0.8632478632478635,0.03524021902237315,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29350649350649355,0.2846153846153846,0.7598644968548051,0.7598717974167093,0.7545253565440928
logistic,2:2,15,0.871794871794872,0.028858022249801944,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29350649350649355,0.2846153846153846,0.8016371395015897,0.7321434968895448,0.7603212742645773
logistic_lasso,2:2,15,0.8940170940170942,0.027082016269666442,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29350649350649355,0.2846153846153846,0.8095149242053233,0.8249467285935894,0.8128790240087947
Naive Bayes,2:2,15,0.8059829059829062,0.04050596790110354,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29350649350649355,0.2846153846153846,0.6616578645380035,0.6777481403286921,0.6646564255010662
svm,2:2,16,0.8469551282051282,0.0428742058386915,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2895021645021645,0.296474358974359,0.7516185153636141,0.7360012687205109,0.7408844961546035
logistic,2:2,16,0.8477564102564104,0.0378897128767208,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2895021645021645,0.296474358974359,0.7774462713106879,0.698372341863727,0.7319136197013436
