Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
MultiNB0.0,1:3,20,0.8519553072625697,0.025386743614529087,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.20852059925093638,0.23268156424581007,0.7828250061445884,0.5067145732937248,0.6130182307202403,Flase,False,812849,2946.1196513380105,0.003624436582117971,0.0037162694640738886,434061366,1613089,1.0135373851723997
MultiNB0.5,1:3,20,0.8466480446927374,0.022098838554545794,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.20852059925093638,0.23268156424581007,0.7563065577716005,0.509845007551428,0.6055686061040172,Flase,False,812849,2946.1196513380105,0.003624436582117971,0.0037162694640738886,434061366,1613089,1.0135373851723997
MultiNB1.0,1:3,20,0.8284916201117319,0.029881741050986222,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.20852059925093638,0.23268156424581007,0.8195209851208304,0.33935107753294885,0.4768566556731922,Flase,False,812849,2946.1196513380105,0.003624436582117971,0.0037162694640738886,434061366,1613089,1.0135373851723997
MultiNB2.0,1:3,20,0.8192737430167598,0.026338575237681575,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.20852059925093638,0.23268156424581007,0.8470851044380456,0.27443266840208935,0.4119906156580747,Flase,False,812849,2946.1196513380105,0.003624436582117971,0.0037162694640738886,434061366,1613089,1.0135373851723997
MultiNB15.0,1:3,20,0.7673184357541899,0.029043563899359116,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.20852059925093638,0.23268156424581007,0.0,0.0,0.0,Flase,False,812849,2946.1196513380105,0.003624436582117971,0.0037162694640738886,434061366,1613089,1.0135373851723997
