Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff
Logistic Lasso10.0,5:5,20,0.9283783783783784,0.04380963534445224,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27972972972972976,0.26891891891891895,0.8910840548340548,0.8547416472416473,0.863913909815276,True,False,564731,905.0585616411792,0.0016026365856331229,0.009972219732264781,62685141,625110,0.0003513177070144901
Logistic Lasso20.0,5:5,20,0.9337837837837837,0.04870492240794621,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27972972972972976,0.26891891891891895,0.9022709235209236,0.8678518703518703,0.8760095094963516,True,False,564731,905.0585616411792,0.0016026365856331229,0.009972219732264781,62685141,625110,0.0004898792522457595
Logistic Lasso50.0,5:5,20,0.922972972972973,0.04380963534445223,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27972972972972976,0.26891891891891895,0.891307165057165,0.8227755577755579,0.8470311869073479,True,False,564731,905.0585616411792,0.0016026365856331229,0.009972219732264781,62685141,625110,0.0007440710710054875
Logistic Lasso100.0,5:5,20,0.927027027027027,0.03735209448941961,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27972972972972976,0.26891891891891895,0.9080766455766455,0.8220004995004995,0.8519743123121775,True,False,564731,905.0585616411792,0.0016026365856331229,0.009972219732264781,62685141,625110,0.0008306609695589582
Logistic Lasso500.0,5:5,20,0.8891891891891891,0.04432762018069386,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.27972972972972976,0.26891891891891895,0.8702164502164502,0.7109310134310134,0.7710660658570875,True,False,564731,905.0585616411792,0.0016026365856331229,0.009972219732264781,62685141,625110,0.00252208573639485
